TV_Spend,Radio_Spend,SocialMedia_Spend,Influencer_Score,Product_Category,Region,Month,Discount_Rate,Online_Promo,Customer_Rating,Units_Sold
22483.57,12373.1,6018.7,1.0,C,West,Dec,22.58,No,4.6,97.0
19308.68,7271.84,7713.16,5.0,A,North,Jan,23.9,Yes,3.5,78.0
23238.44,14208.38,9262.47,5.0,A,South,Oct,22.02,No,4.4,104.0
27615.15,18422.410000000003,10164.39,1.0,B,South,Jun,19.31,Yes,3.6,111.0
18829.23,11760.57,4999.26,9.0,B,South,May,32.02,No,3.4,86.0
18829.32,16571.37,7163.75,8.0,C,East,Nov,5.43,Yes,4.9,99.0
27896.06,7028.39,6812.64,1.0,C,East,Apr,57.50875,Yes,3.0,108.0
23837.17,8301.11,6366.68,5.0,C,East,Nov,24.79,No,2.7,99.0
17652.63,10298.95,12413.64,5.0,B,West,Mar,30.07,No,4.4,85.0
19639.95,8489.57,9012.45,6.0,B,North,Jan,25.97,Yes,2.7,96.0
17682.91,5348.01,4847.79,10.0,B,East,Jun,33.94,No,4.6,74.0
17671.35,10205.69,10294.65,5.0,B,North,Feb,38.57,Yes,3.6,84.0
21209.81,6813.09,13305.39,6.0,B,West,Aug,16.99,Yes,4.8,96.0
10433.6,11420.78,10581.16,5.0,B,South,Oct,12.96,Yes,4.3,64.0
11375.41,7241.73,4201.58,5.0,B,East,May,19.83,Yes,4.0,53.0
17188.56,14649.8,6789.41,4.0,C,North,Jul,15.08,Yes,4.9,89.0
14935.84,7650.24,11167.28,3.0,C,North,Oct,26.52,No,3.5,74.0
21571.24,9033.82,6230.83,3.0,C,East,Dec,36.91,Yes,4.9,97.0
15459.88,12440.55,9109.55,4.0,C,South,Feb,9.87,Yes,2.8,83.0
12938.48,6307.41,9936.59,9.0,B,South,Aug,8.53,No,3.7,54.0
27328.24,10682.38,5682.67,2.0,A,South,Feb,13.96,Yes,3.2,114.0
19639.95,13921.43,7851.19,5.0,B,West,Apr,30.41,No,3.8,105.0
20337.64,5177.55,1856.0250000000005,1.0,A,North,Jan,25.75,No,2.9,72.0
12876.26,10553.9,5439.03,5.0,C,North,May,8.58,No,4.6,57.0
17278.09,10779.65,7368.58,5.0,B,North,Sep,37.16,Yes,4.6,84.0
20554.61,12345.47,4880.54,6.0,C,West,Jan,32.65,Yes,4.9,93.0
14245.03,6289.15,12081.03,6.0,B,North,Sep,5.81,Yes,2.9,69.0
21878.49,6038.63,4424.65,3.0,C,West,Nov,27.8,No,4.1,87.0
