student_id,hours_studied,score
1,3.62,68.0
2,7.66,100.0
3,6.12,93.0
4,5.19,89.6
5,2.09,50.7
6,2.09,58.7
7,1.41,31.0
8,7.06,100.0
9,5.21,82.5
10,5.96,88.1
11,1.14,41.9
12,7.79,98.0
13,6.83,97.2
14,2.49,56.7
15,2.27,60.1
16,2.28,50.2
17,3.13,57.3
18,4.67,74.2
19,4.02,74.8
20,3.04,62.0
21,5.28,80.2
22,1.98,52.4
23,3.05,61.0
24,3.56,70.4
25,4.19,68.4
26,6.5,93.4
27,2.4,52.0
28,4.6,68.7
29,5.15,83.0
30,1.33,44.6
31,5.25,82.5
32,2.19,50.7
33,1.46,37.5
34,7.64,100.0
35,7.76,100.0
36,6.66,92.6
37,3.13,60.5
38,1.68,48.8
39,5.79,97.3
40,4.08,71.7
41,1.85,49.8
42,4.47,74.3
43,1.24,32.8
44,7.37,100.0
45,2.81,58.4
46,5.64,98.7
47,3.18,60.8
48,4.64,77.9
49,4.83,78.1
50,2.29,47.1
51,7.79,100.0
52,6.43,98.1
53,7.58,100.0
54,7.26,98.1
55,5.19,88.9
56,7.45,97.5
57,1.62,49.1
58,2.37,64.7
59,1.32,38.2
60,3.28,60.0
61,3.72,67.7
62,2.9,56.5
63,6.8,90.2
64,3.5,65.3
65,2.97,54.4
66,4.8,80.4
67,1.99,45.3
68,6.62,100.0
69,1.52,41.3
70,7.91,100.0
71,6.41,98.2
72,2.39,47.7
73,1.04,41.5
74,6.71,100.0
75,5.95,81.5
76,6.1,91.9
77,6.4,95.3
78,1.52,49.1
79,3.51,58.9
80,1.81,41.5
81,7.04,100.0
82,5.36,85.1
83,3.32,64.5
84,1.44,46.1
85,3.18,58.4
86,3.28,64.0
87,6.11,92.6
88,5.46,81.0
89,7.21,100.0
90,4.31,75.5
91,4.249489795918366,55.0
92,2.5,71.50714285714287
93,4.0,78.0
94,4.249489795918366,66.0
95,6.2,71.50714285714287
96,4.83,78.1
97,3.28,64.0
98,1.68,48.8
99,5.28,80.2
100,1.04,41.5
